Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
134,4,138,30.68,18.01,12.67,536.200006,54,7,78.35961517,27532.4,0.559517397,0.825480169,0.771480887,0.462096375,0.6579271,0.457969144,0.39052076,0.571341233,0.456426118,9431.666667
131,4,135,30.68,18.13,12.55,515.800005,50,8,70.09148557,39366.38,0.571300463,0.820529826,0.726626621,0.352260233,0.596504316,0.520183056,0.343090738,0.542623434,0.478170591,8494.166667
135,7,142,30.68,17.83,12.85,540.700004,48,8,71.19052177,35875.43,0.611257461,0.834030257,0.74684433,0.424223072,0.694210548,0.599256592,0.400594491,0.604159846,0.542462877,8557.321429
136,7,143,30.68,17.83,12.85,540.800004,51,17,64.56152328,36815.13,0.530337512,0.868547085,0.647388251,0.386964909,0.721889323,0.521115368,0.350578603,0.627761153,0.480278628,8531.818182
130,7,137,30.68,17.83,12.85,533.8000039,49,7,79.51820709,24741.2,0.505861845,0.74137407,0.611027483,0.364874108,0.674173822,0.436611357,0.336827407,0.534494649,0.413145271,7196.428571
142,7,149,30.68,17.83,12.85,553.1000037,53,10,77.96472009,36145.91,0.487673838,0.85079304,0.535456763,0.308507845,0.707369084,0.419988672,0.294996454,0.616291621,0.386992635,9914.285714
130,34,164,30.68,17.83,12.85,608.8000059,52,11,67.40012708,37138.52,0.530048173,0.902913312,0.614991738,0.386964909,0.753611844,0.512687941,0.350578603,0.666028004,0.467232618,9219.642857
130,33,163,30.68,17.83,12.85,593.7000049,50,9,78.0187841,25675.63,0.456075182,0.765040563,0.604213873,0.280382844,0.602756667,0.425633528,0.270624079,0.536568275,0.415228928,8652.596154
130,18,148,30.68,17,13.68,506.0000039,48,5,77.37733315,25583.48,0.435217223,0.895897035,0.59322,0.343938769,0.69733347,0.618801,0.295967654,0.62395814,0.510461,6655.480769
130,13,143,30.68,17.83,12.85,492.3000043,57,18,73.18958317,32679,0.512287197,0.859069256,0.645046536,0.397263284,0.662302657,0.529811155,0.354928699,0.596918411,0.459540969,8276.428571
130,17,147,30.68,17,13.68,499.8000039,50,5,77.18503915,26267.42,0.412971008,0.902137069,0.615524,0.309988033,0.723731441,0.588938,0.268971732,0.641868989,0.39046772,7517.913043
130,15,145,30.68,17,13.68,495.3000039,51,10,78.66030097,37010.17,0.793300519,0.851094259,0.570733559,0.649027455,0.647367168,0.39041309,0.559429526,0.584340809,0.379141135,7564.102564
130,14,144,30.68,17,13.68,495.0000039,48,19,63.41330626,36965.74,0.628333818,0.889770997,0.746363624,0.437232371,0.759295894,0.659952455,0.40693619,0.65675752,0.578760199,9456.060606
131,10,141,29.98,17,12.98,514.9000043,50,6,77.97744343,30114.15,0.433880057,0.806257837,0.672182214,0.236575479,0.576569581,0.474688917,0.247186244,0.531820812,0.437256593,7216.239316
132,10,142,29.98,17,12.98,520.2000031,57,18,72.77746895,31731.6,0.55369016,0.84034412,0.645046536,0.366837053,0.624092349,0.522721458,0.34359587,0.573196451,0.459540969,6443.75
130,11,141,29.98,17,12.98,469.900004,64,23,62.8766338,47555.72,0.456043975,0.87375324,0.550606955,0.39486468,0.809357225,0.404414276,0.341665719,0.676897633,0.387650876,10342.73504
131,12,143,32.23,17,15.23,550.6000059,46,5,73.20763877,27191.06,0.679515273,0.756310794,0.709176996,0.424028974,0.634654873,0.58305516,0.403583587,0.566724364,0.529588662,7708.644068
130,14,144,32.23,17,15.23,554.3000057,45,9,73.64097213,27641.7,0.547710113,0.818422269,0.662772308,0.365415654,0.672571113,0.529533118,0.336918002,0.581988338,0.468778307,8415.254237
130,14,144,32.23,17,15.23,634.9999977,54,4,77.64330797,25535.82,0.493461,0.794800216,0.6345334,0.4654322,0.624017883,0.456265,0.532543,0.55349133,0.466366,7738.888889
136,10,146,32.23,17,15.23,640.2999978,51,22,62.08426603,41405.57,0.670911371,0.83846288,0.777493,0.537967235,0.753570048,0.68278,0.485011235,0.634860534,0.591874,8723.423423
135,10,145,32.23,17,15.23,629.7999967,54,21,63.70432095,41522.97,0.482863531,0.771064992,0.49575347,0.35569764,0.691013578,0.408063935,0.298920416,0.575897373,0.367806509,7905.555556
133,14,147,32.23,17,15.23,651.5999978,54,18,76.5026245,31462.56,0.659402812,0.833070983,0.593855391,0.522807704,0.682573241,0.463389231,0.452877406,0.587031433,0.42254982,8791.888889
137,12,149,32.23,17,15.23,673.6999975,55,4,77.45770191,23785.31,0.48542,0.821932004,0.58624,0.4673,0.621264468,0.472256,0.399674,0.563924305,0.399364,8466.666667
131,13,144,32.23,17,15.23,661.3999977,47,24,64.07033328,38952.28,0.482449677,0.839117113,0.688493874,0.329586646,0.584568293,0.550619502,0.297681224,0.5582678,0.506421049,8332.051282
133,11,144,32.23,17,15.23,654.0999981,49,6,82.17977142,24018.92,0.725513719,0.842882883,0.709743544,0.755041463,0.694604796,0.50117048,0.565736615,0.605892567,0.4853982,8076.315789
134,10,144,32.23,17,15.23,654.0999981,54,7,78.30352782,30705.92,0.34859368,0.748679399,0.637437073,0.243309424,0.639847791,0.503781902,0.230955805,0.537502603,0.455308557,8477.714286
132,11,143,32.23,17,15.23,652.6999981,46,11,67.41145822,36216.63,0.522406175,0.922555227,0.717948392,0.365364333,0.723891784,0.623298549,0.348857964,0.649032008,0.553553265,7954.285714
