emer_season,emer_har,seed_stage,total_length,avg_temp,max_temp,min_temp,temp_range,total_precip,precip_airport_meteo,precip_airport,wet_day_freq,drought_days,hum,sunlight,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,yield
MAM,133,6,139,24.53,32.92,17.52,15.4,653.4000139,772.9,660.1,49,7,73.39980922,32487.6,0.501464604,0.843796719,0.70185368,0.446284104,0.594913182,0.524072417,0.425702576,0.559062657,0.481716836,9085.714286
SON,116,20,136,23.01,32.23,17.64,14.59,502.199993,533.15,525,52,7,70.1628204,32499.93,0.368016973,0.852909165,0.624851383,0.243091905,0.583093672,0.470348325,0.235687237,0.645,0.447086014,8567.948718
MAM,119,11,130,22.81,30.68,17,13.68,516.800006,714.15,836.6,41,18,69.37274775,32501.3,0.630252356,0.843543408,0.523554332,0.453344642,0.639976969,0.346542564,0.355564235,0.582306627,0.312445673,8821.052632
SON,132,11,143,22.23,30.45,15.81,14.64,488.9,535.85,569.6,52,6,70.55410439,32648.1,0.55818592,0.802139524,0.713251595,0.391139595,0.590371033,0.508808309,0.367044483,0.538609584,0.482944157,7601.098901
SON,131,9,140,22.36,30.45,15.81,14.64,436.9999978,702.85,821.5,57,10,75.9952038,32685.65,0.505168565,0.760858635,0.622709874,0.330344664,0.553670728,0.421079999,0.308065617,0.497721818,0.404924322,5970.574713
DJF,121,7,128,23.7,33.24,18.25,14.99,455.4000058,777.6,1009.2,57,18,72.94533084,32870.31,0.275792822,0.831561601,0.663427609,0.239007091,0.67264431,0.511072448,0.212754901,0.591645878,0.465252254,6784.130435
SON,115,19,134,23.01,32.23,17.64,14.59,488.899993,533.15,525,48,8,78.87467954,32931.24,0.529991553,0.810811541,0.653017261,0.367212915,0.628397488,0.509079569,0.336634793,0.557693201,0.456949506,8361.666667
SON,126,9,135,22.23,30.45,15.81,14.64,458.6000004,535.85,569.6,53,7,78.48206033,33013.64,0.508151321,0.866770087,0.60198894,0.329690021,0.648902178,0.46364759,0.315004673,0.594330679,0.41,5678.350515
DJF,115,15,130,22.22,30.68,17.83,12.85,454.800003,912.65,1182.1,40,6,69.02658021,33025.53,0.535144348,0.886963064,0.721377844,0.398568678,0.780748674,0.62842621,0.36293709,0.676169317,0.574511694,9400
DJF,125,15,140,22.53,30.45,18.35,12.1,428.799993,712.55,874.7,43,18,69.88695652,33099.41,0.562075135,0.847882474,0.597218463,0.392402147,0.649660769,0.551066847,0.362716267,0.588603686,0.42603598,8871.186441
DJF,115,10,125,24.98,33.78,18.33,15.45,646.1000188,683.4,635.4,50,8,78.3729168,33488.45,0.262917441,0.797875184,0.663427609,0.184070208,0.730404588,0.511072448,0.174968212,0.601470823,0.465252254,9022
JJA,139,20,159,23.29,32.92,15.81,17.11,657.7000062,760.75,798.7,57,10,75.75886519,33532.09,0.483628589,0.673575468,0.594316447,0.329683475,0.444126786,0.377799879,0.302672983,0.417609266,0.375625815,5948.679245
DJF,127,13,140,22.53,30.45,18.35,12.1,428.799993,712.55,874.7,55,7,70.96217487,33959.04,0.586276264,0.829467361,0.690570887,0.392105667,0.601591153,0.493393522,0.371940991,0.535543,0.467743359,6670.56338
MAM,129,10,139,24.8,32.92,17.52,15.4,679.5000147,802.75,752.2,51,10,79.45934953,34013.72,0.482303575,0.784888171,0.668062452,0.2928987,0.487692344,0.501629545,0.284791602,0.473566653,0.449435157,6621.621622
DJF,117,27,144,22.17,30.68,17.83,12.85,547.6000059,934.9,1222.2,43,8,68.05874305,34014.41,0.535144348,0.938352793,0.740173247,0.398568678,0.693319881,0.658704448,0.36293709,0.635620676,0.576897496,8879.338843
MAM,123,11,134,24.58,32.92,17.52,15.4,651.0000147,664.25,611.9,41,22,69.08891368,34030.92,0.548457345,0.69872751,0.769396137,0.434839282,0.541808728,0.685301603,0.376923055,0.496863549,0.567241421,7706.024096
DJF,115,10,125,24.98,33.78,18.24,15.54,610.6000158,683.4,635.4,48,7,68.43112939,34450,0.53220538,0.823545143,0.674281268,0.379655641,0.544295901,0.590479133,0.345744663,0.518403281,0.478321384,8764.356436
JJA,128,20,148,23.59,32.92,15.81,17.11,615.800004,673.1,726,56,10,79.61267594,34684.15,0.45675711,0.844843541,0.5598,0.308624577,0.569374147,0.48763,0.295249774,0.542515639,0.41432,8263.75
MAM,122,6,128,22.51,29.98,17,12.98,413.5000061,937.8,1118.2,55,18,71.53080966,34889.91,0.457785474,0.895179793,0.663427609,0.375959749,0.745516957,0.511072448,0.343221826,0.658550842,0.465252254,9185.9375
JJA,130,32,162,22.94,31.59,17.71,13.88,641.100008,918.6,979.8,47,12,67.05820092,34994.16,0.529991553,0.891628844,0.70482487,0.367212915,0.755862181,0.616726232,0.336634793,0.670457456,0.531988535,7221.666667
